Date,Wind Circulation,Moon Phases,Nimbus Clouds,Body feels at Night,Fishing Activity,Temp (Min),Temp (max),Rainfall (mm),Winds(m/s)
08/04/2023,Nyadhiwa,Descending,Clear,Cold,Normal,16.6,27.9,0,6.2
08/05/2023,Nyadhiwa-Kus,Low Moon,Clear,Cold,Normal,16.1,28.3,0,6.79
30/08/2023,Genya,New moon,Light,Warm,Normal,18.1,29.7,0,7.13
31/08/2023,Marimbe,New moon,Cloudy,Warm,Normal,18.9,27.8,0,7.98
30/09/2023,Genya,Midway,Cloudy,Warm,Bad,18.2,30.5,0,8.01
10/02/2023,Nyagire,Midway,Heavy Cloud,Hot,Good,18.1,30.8,2.19,8.55
30/10/2023,Genya,Descending,Cloudy,Warm,Bad,17.9,28,2.9,8.04
11/01/2023,Kus,Low Moon,Light,Warm,Normal,17.8,31.5,0.19,8.21
30/11/2023,Tarai,Low Moon,Heavy Cloud,Warm,Normal,18.3,26.3,0.02,5.97
12/02/2023,Genya,New moon,Heavy Cloud,Warm,Normal,19,26.4,25.49,5.81
31/12/2023,Genya,Low Moon,Heavy Cloud,Warm,Bad,17.9,24.4,3.14,6.63
01/01/2024,Tarai,New moon,Cloudy,Warm,Normal,17.1,26.1,0,6.13
30/01/2024,Kus,Ascending,Cloudy,Hot,Normal,19.2,26.8,0.1,6.19
31/12/2023,Genya,Low Moon,Heavy Cloud,Warm,Risky,17.9,24.4,3.14,6.63
02/01/2024,Genya,Ascending,Clear clouds,Hot ,Normal,20.9,26.6,0,6.71
28/02/2024,Marimbe,Low Moon,Heavy Cloud,Hot,Good,18.1,28,0,4.94
03/01/2024,Tarai,Ascending,Cloudy,Warm,Normal,19.3,28.3,0.52,6.38
03/02/2024,Kus,Ascending,Clear,Warm,Normal,19.6,28.6,0.13,7.38
31/03/2024,Nyadhiwa,Descending,Heavy clouds,Warm,Normal,18.3,27.7,9.16,7
04/01/2024,Genya,Descending,Heavy clouds,Warm,Risky,18.1,27.8,2.93,7.06
04/02/2024,"Nyakoba, Kus, Genya",Descending,Heavy clouds,Warm,Risky,19.3,25.6,125.59,9.06
29/04/2024,Nyakoi,Low Moon,Heavy clouds,Cool,Risky,17.6,26.3,0,5.06
05/01/2024,Kus,Low Moon,Clear clouds,Cool,Normal,18.1,27.8,0,6.13
05/02/2024,Genya,Low Moon,Light clouds,Cool,Normal,18.9,27.9,66.17,6.94
